"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","LoggerTemp","External Voltage","GPS Speed dup 1","Altitude","GPS LateralAcc","GPS InlineAcc","GPS Yaw Rate","Luminosity","Max Voltage 1","Min Voltage 1","Reverse","D4 Gate Driver B","D3 Module C","D2 Module B","D1 Module A","D4 RTD3 Temperat","D3 RTD2 Temperat","D2 RTD1 Temperat","D1 Control Board","D4 Torque Shudde","D3 Motor Tempera","D2 RTD5 Temperat","D1 RTD4 Temperat","D4 Analog Input","D2 Analog Input","D6 Analog Input","D3 Analog Input","D1 Analog Input","D5 Analog Input","D5 Digital Input","D2 Digital Input","D1 Digital Input","D6 Digital Input","D4 Digital Input","D3 Digital Input","D7 Digital Input","D8 Digital Input","D4 Delta Resolve","D3 Electrical Ou","D2 Motor Speed","D1 Motor Angle E","D4 DC Bus Curren","D1 Phase A Curre","D3 Phase C Curre","D2 Phase B Curre","D4 VBC Vq Voltag","D3 VAB Vd Voltag","D2 Output Voltag","D1 DC Bus Voltag","D4 Iq","D3 Id","D2 Flux Feedback","D1 Flux Command","D4 Reference Vol","D3 Reference Vol","D2 Reference Vol","D1 Reference Vol","D7 Direction Com","D6 Inverter Enab","D3 Relay 1 Statu","D7 BMS Active","D7 BMS Torque Li","D7 Max Speed Lim","D7 Low Speed Lim","D1 Commanded Tor","D2 Torque Feedba","D4 Iq Command","D3 Id Command","Fast Torque Comm","Fast Torque Feed","Fast Motor Speed","Fast DC Bus Volt","Inverter Enable","Direction Comman","Torque Command","Inverter Dischar","Torque Limit Com","SEG1OV","SEG1UV","SEG1OT","SEG1UT","SEG2OV","SEG2UT","SEG2UV","SEG2OT","SEG3OV","SEG3UV","SEG3OT","SEG3UT","SEG4OV","SEG4UV","SEG4OT","SEG4UT","SEG5OV","SEG5UV","SEG5OT","SEG5UT","SEG6OV","SEG6UV","SEG6OT","SEG6UT","Current","Voltage","RDTActive","Buzzer","D3 HV Input Curr","TSAL Active","BrakeSensor1","BrakeSensor2","APPS1","APPS2","Max Voltage 001","Min Voltage 001","AVG Voltage 001","Max Temperature","Min Temperature","Avg Temperature","Max Location 01","Min Location 01","Pack Voltage","Pack Current","Pack Current 01","Pack Inst Voltag","Average Temperat","High Temperature","Low Temperature","High Cell Voltag","Low Cell Voltage","Maximum Pack Vol","Minimum Cell Vol","Maximum Cell Vol"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","V","km/h","m","g","g","deg/s","%","mV","mV","#","#","#","#","#","°C","°C","°C","#","#","°C","°C","°C","#","#","#","#","#","#","#","#","#","#","#","#","#","#","deg","Hz","rpm","deg","A","A","A","A","mV","mV","mV","mV","A","A","#","#","mV","mV","mV","mV","#","#","#","#","#","#","#","Nm","Nm","A","A","Nm","Nm","rpm","mV","#","#","Nm","#","Nm","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","A","mV","#","#","#","#","bar","bar","%","%","mV","mV","mV","°C","°C","°C","#","#","#","#","A","mV","°C","°C","°C","mV","mV","mV","mV","mV"

"106.250","0.1489","14","0.0000","0.0000","-18.0081","21.2429","0.0000","325.0002","30.7590","0.1747","10000.0000","40.86316527","-77.83448032","27.6849","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","113.6875","4226.7998","3958.8999","1.0000","27.3000","23.9080","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9000","0.0000","25.8514","-1000.0000","-1000.0000","4.8800","2.0300","4.8800","4.8600","4.8604","4.8800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.3000","0.0000","0.0000","173.3000","0.0000","0.1922","0.2196","0.9882","-0.0098","-0.3098","0.0000","306.1951","-0.1902","1.2804","-18.5420","0.0340","11.5508","5.0408","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.0032","0.0000","306.6710","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7724","1.3532","3226.7998","2958.9316","3192.4814","40.6700","27.8800","19.8900","37.0000","10.0000","305.4921","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"106.300","0.1158","14","0.0000","0.0000","-20.8145","-89.9903","0.0000","324.9966","30.6090","0.1797","10000.0000","40.86316530","-77.83448031","27.6875","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","113.6875","4226.7998","3958.8999","1.0000","27.3000","23.9130","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9000","0.0000","25.8213","-1000.0000","-1000.0000","4.8800","2.0300","4.8800","4.8600","4.8653","4.8800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.3000","0.0000","0.0000","173.3000","0.0000","0.0941","0.4647","0.8412","-0.1078","-0.4078","0.0000","306.1461","-0.0922","1.0843","-18.5420","0.0340","11.5513","5.0413","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.2183","0.0000","306.4022","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7100","1.4293","3226.7998","2958.9392","3192.4890","40.6700","27.8800","19.8900","37.0000","10.0000","305.4926","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"106.350","0.0843","14","0.0000","0.0000","-22.4991","-19.6900","0.0000","324.9932","30.4120","0.1706","10000.0000","40.86316538","-77.83448023","27.6875","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","113.6875","4226.7998","3958.8999","1.0000","27.3000","23.9180","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9000","0.0000","25.7913","-1000.0000","-1000.0000","4.8798","2.0300","4.8802","4.8602","4.8698","4.8800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.3000","0.0000","0.0000","173.3000","0.0000","0.0039","0.6941","0.6843","-0.2147","-0.4941","0.0000","306.1000","-0.0088","0.8735","-18.5420","0.0340","11.5518","5.0418","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.0117","0.0000","0.0000","0.0000","-0.1667","0.0000","306.2667","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7100","1.4129","3226.7998","2958.9465","3192.4963","40.6700","27.8800","19.8900","37.0000","10.0000","305.4931","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"106.400","0.0528","14","0.0000","0.0000","-24.1121","62.1975","0.0000","324.9899","30.2120","0.1606","10000.0000","40.86316546","-77.83448015","27.6875","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","113.6927","4226.7998","3958.8999","1.0000","27.3000","23.9230","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9000","0.0000","25.7613","-1000.0000","-1000.0000","4.8749","2.0300","4.8851","4.8651","4.8649","4.8800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.3000","0.0000","0.0000","173.3000","0.0000","0.1020","0.5471","0.2922","-0.4598","-0.3961","0.0000","306.1000","-0.1559","0.4324","-18.5420","0.0340","11.5523","5.0423","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.1573","0.0000","0.0000","0.0000","0.0484","0.0000","306.2129","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7210","1.3615","3226.7998","2958.9541","3192.5039","40.6700","27.8800","19.8900","37.0000","10.0000","305.4936","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"106.450","0.0608","14","0.0000","0.0000","-32.0363","120.1687","0.0000","324.9862","30.0590","0.1647","10000.0000","40.86316550","-77.83448013","27.6875","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","113.7188","4226.7998","3958.8999","1.0000","27.3000","23.9280","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9000","0.0000","25.7312","-1000.0000","-1000.0000","4.8700","2.0300","4.8900","4.8700","4.8600","4.8800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.3000","0.0000","0.0000","173.3000","0.0000","0.2000","0.4000","-0.1000","-0.6854","-0.3039","0.0000","306.1058","-0.2990","0.0020","-18.5420","0.0340","11.5528","5.0428","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.2971","0.0000","0.0000","0.0000","0.0183","0.0000","306.1591","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7710","1.1865","3226.7998","2958.9614","3192.5115","40.6700","27.8800","19.8900","37.0000","10.0000","305.4941","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"106.500","0.0714","14","0.0000","0.0000","-40.3634","176.6133","0.0000","324.9825","29.9090","0.1697","10000.0000","40.86316553","-77.83448012","27.6875","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","113.7448","4226.7998","3958.9058","1.0000","27.3000","23.9330","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9000","0.0000","25.7012","-1000.0000","-1000.0000","4.8700","2.0300","4.8949","4.8700","4.8600","4.8751","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.3000","0.0000","0.0000","173.2510","0.0000","0.2000","-0.0412","-0.0510","0.0427","-0.4981","0.0000","306.3971","-0.2500","0.1000","-18.5420","0.0340","11.5533","5.0433","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.1500","0.0000","0.0000","0.0000","-0.0892","0.0000","306.1054","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8133","1.0565","3226.7998","2958.9690","3192.5190","40.6700","27.8800","19.8900","37.0000","10.0000","305.4946","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"106.550","0.2212","14","0.0000","0.0000","-25.2846","13.9841","0.0000","324.9807","29.7590","0.1935","10000.0000","40.86316548","-77.83448001","27.6875","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","113.7500","4226.7998","3958.9182","1.0000","27.3000","23.9380","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9000","0.0000","25.6712","-1000.0000","-1000.0000","4.8700","2.0300","4.8997","4.8700","4.8600","4.8703","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.3000","0.0000","0.0000","173.2020","0.0000","0.2000","-0.4824","-0.0020","0.7709","-0.6922","0.0000","306.6884","-0.2010","0.1980","-18.5420","0.0340","11.5538","5.0438","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.0029","0.0000","0.0000","0.0000","0.0452","0.0000","306.2451","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8281","1.0862","3226.7998","2958.9766","3192.5264","40.6700","27.8800","19.8900","37.0000","10.0000","305.4951","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"106.600","0.3799","14","0.0000","0.0000","-8.7117","-162.6286","0.0000","324.9790","29.6090","0.2185","10000.0000","40.86316544","-77.83447989","27.6875","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","113.7500","4226.7998","3958.9307","1.0000","27.3000","23.9430","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9000","0.0000","25.6411","-1000.0000","-1000.0000","4.8700","2.0300","4.8953","4.8653","4.8553","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.2529","0.0000","0.0000","173.2000","0.0000","0.1059","-0.0294","-0.0471","0.3248","-0.4149","0.0000","306.6049","-0.1039","0.1039","-18.5420","0.0340","11.5543","5.0443","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.1935","0.0000","306.3979","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8400","1.1100","3226.7998","2958.9839","3192.5339","40.6700","27.8800","19.8900","37.0000","10.0000","305.4956","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"106.650","0.2442","14","0.0000","0.0000","-16.2135","-140.5995","0.0000","324.9720","29.4590","0.2012","10000.0000","40.86316549","-77.83447986","27.6901","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","113.7500","4226.7998","3958.9431","1.0000","27.3000","23.9480","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9000","0.0000","25.6111","-1000.0000","-1000.0000","4.8700","2.0300","4.8904","4.8604","4.8504","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.2039","0.0000","0.0000","173.2000","0.0000","0.0078","0.4608","-0.0961","-0.1703","-0.1178","0.0000","306.5060","-0.0059","0.0059","-18.5420","0.0340","11.5548","5.0448","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0323","0.0000","306.3441","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8400","1.1100","3226.7998","2958.9915","3192.5415","40.6700","27.8800","19.8900","37.0000","10.0000","305.4961","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"106.700","0.0898","14","0.0000","0.0000","-25.2519","-105.8911","0.0000","324.9646","29.3090","0.1812","10000.0000","40.86316555","-77.83447984","27.6966","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","113.7500","4226.7998","3958.9556","1.0000","27.3000","23.9531","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9000","0.0000","25.5811","-1000.0000","-1000.0000","4.8700","2.0300","4.8900","4.8645","4.8545","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.2000","0.0000","0.0000","173.2000","0.0000","0.2255","0.5902","0.1255","-0.0618","-0.2843","0.0000","306.4539","-0.2304","0.3686","-18.5420","0.0340","11.5553","5.0453","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.0931","0.0000","0.0000","0.0000","-0.0710","0.0000","306.3290","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.8330","1.1140","3226.7998","2958.9990","3192.5488","40.6700","27.8800","19.8900","37.0000","10.0000","305.4966","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"106.750","0.1220","14","0.0000","0.0000","-21.7579","-69.5381","0.0000","324.9610","29.2060","0.1847","10000.0000","40.86316563","-77.83447976","27.7031","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","113.7500","4226.7998","3958.9680","1.0000","27.3000","23.9581","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9000","0.0000","25.5511","-1000.0000","-1000.0000","4.8700","2.0300","4.8900","4.8694","4.8594","4.8700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.2000","0.0000","0.0000","173.2000","0.0000","0.4706","0.6882","0.3706","0.0853","-0.4804","0.0000","306.4049","-0.4755","0.7608","-18.5420","0.0340","11.5558","5.0458","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.1921","0.0000","0.0000","0.0000","0.0903","0.0000","306.4903","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7980","1.1340","3226.7998","2959.0063","3192.5564","40.6700","27.8800","19.8900","37.0000","10.0000","305.4971","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"106.800","0.1662","14","0.0000","0.0000","-17.4640","-33.0801","0.0000","324.9577","29.1060","0.1897","10000.0000","40.86316572","-77.83447967","27.7031","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","113.7760","4226.7998","3958.9807","1.0000","27.3000","23.9631","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9000","0.0000","25.5210","-1000.0000","-1000.0000","4.8657","2.0300","4.8900","4.8700","4.8600","4.8657","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.2000","0.0000","0.0000","173.2000","0.0000","-0.2333","0.0961","0.0118","0.2765","0.1176","0.0000","306.5765","0.1176","-0.1265","-18.5420","0.0340","11.5563","5.0463","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.1157","0.0000","0.0000","0.0000","0.1312","0.0000","306.6344","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7667","1.1775","3226.7998","2959.0139","3192.5640","40.6700","27.8800","19.8900","37.0000","10.0000","305.4976","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"106.850","0.1309","14","0.0000","0.0000","-20.2480","-23.1186","0.0000","324.9548","28.9590","0.1900","10000.0000","40.86316574","-77.83447960","27.7031","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","113.8021","4226.7998","3958.9932","1.0000","27.3000","23.9681","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9000","0.0000","25.4910","-1000.0000","-1000.0000","4.8608","2.0300","4.8900","4.8700","4.8600","4.8608","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.2000","0.0000","0.0000","173.2000","0.0000","-1.0667","-0.5902","-0.4294","0.4725","0.8039","0.0000","306.7726","0.8039","-1.1559","-18.5420","0.0340","11.5568","5.0468","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.4588","0.0000","0.0000","0.0000","-0.0839","0.0000","306.7419","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7502","1.3148","3226.7998","2959.0215","3192.5713","40.6700","27.8800","19.8900","37.0000","10.0000","305.4981","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"106.900","0.0906","14","0.0000","0.0000","-23.4838","-14.8485","0.0000","324.9519","28.8090","0.1900","10000.0000","40.86316576","-77.83447953","27.7070","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","113.8125","4226.7998","3959.0056","1.0000","27.3000","23.9731","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9000","0.0000","25.4610","-1000.0000","-1000.0000","4.8641","2.0300","4.8900","4.8700","4.8641","4.8600","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.2000","0.0000","0.0000","173.2000","0.0000","-0.7882","-0.2471","-0.2529","0.4165","0.4825","0.0000","306.7583","0.6049","-0.7520","-18.5420","0.0340","11.5573","5.0473","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.2864","0.0000","0.0000","0.0000","-0.1258","0.0000","306.7011","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7400","1.4000","3226.7998","2959.0288","3192.5789","40.6700","27.8800","19.8900","37.0000","10.0000","305.4986","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"106.950","0.1002","14","0.0000","0.0000","-14.7759","32.7610","0.0000","324.9520","28.7060","0.1853","10000.0000","40.86316582","-77.83447946","27.7135","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","113.8125","4226.7998","3959.0181","1.0000","27.3000","23.9781","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9000","0.0000","25.4309","-1000.0000","-1000.0000","4.8690","2.0300","4.8900","4.8700","4.8690","4.8600","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.2000","0.0000","0.0000","173.2000","0.0000","-0.2980","0.2922","0.0412","0.3194","-0.0029","0.0000","306.7097","0.2618","-0.1147","-18.5420","0.0340","11.5578","5.0478","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0437","0.0000","0.0000","0.0000","0.0355","0.0000","306.4860","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7400","1.4000","3226.7998","2959.0364","3192.5864","40.6700","27.8800","19.8900","37.0000","10.0000","305.4991","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"107.000","0.1131","14","0.0000","0.0000","-5.3056","82.8816","0.0000","324.9524","28.6060","0.1803","10000.0000","40.86316588","-77.83447939","27.7188","11.3360","0.0000","0.0000","0.0000","0.0000","0.0000","113.8177","4226.7998","3959.0305","1.0000","27.3000","23.9831","24.0000","23.8000","-1000.0000","206.3000","204.9000","25.9000","0.0000","25.4009","-1000.0000","-1000.0000","4.8700","2.0300","4.8861","4.8661","4.8700","4.8639","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-173.2000","0.0000","0.0000","173.2000","0.0000","0.0745","0.2431","0.1000","0.1039","-0.3353","0.0000","306.4255","-0.0814","0.2412","-18.5420","0.0340","11.5583","5.0483","2.5100","1.5000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.1206","0.0000","0.0000","0.0000","0.2613","0.0000","306.5290","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7344","1.4056","3226.7998","2959.0437","3192.5938","40.6700","27.8800","19.8900","37.0000","10.0000","305.4996","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
